Lag (seconds)	Frequency (Hz)	Level
0.000023	44100.000000	244.158646
0.000045	22050.000000	219.814377
0.000068	14700.000000	180.998093
0.000091	11025.000000	132.238602
0.000113	8820.000000	76.195282
0.000136	7350.000000	16.912645
0.000159	6300.000000	-41.715424
0.000181	5512.500000	-95.928680
0.000204	4900.000000	-142.441238
0.000227	4410.000000	-178.502319
0.000249	4009.090909	-202.189560
0.000272	3675.000000	-212.445938
0.000295	3392.307692	-209.221176
0.000317	3150.000000	-193.226456
0.000340	2940.000000	-165.976746
0.000363	2756.250000	-129.830200
0.000385	2594.117647	-87.487625
0.000408	2450.000000	-41.905861
0.000431	2321.052632	3.842083
0.000454	2205.000000	46.837940
0.000476	2100.000000	84.366371
0.000499	2004.545455	114.277504
0.000522	1917.391304	135.207474
0.000544	1837.500000	146.459259
0.000567	1764.000000	147.997223
0.000590	1696.153846	140.419724
0.000612	1633.333333	124.886810
0.000635	1575.000000	102.984367
0.000658	1520.689655	76.601707
0.000680	1470.000000	47.791321
0.000703	1422.580645	18.581980
0.000726	1378.125000	-9.138637
0.000748	1336.363636	-33.738598
0.000771	1297.058824	-53.949432
0.000794	1260.000000	-68.907318
0.000816	1225.000000	-78.174988
0.000839	1191.891892	-81.743408
0.000862	1160.526316	-79.987793
0.000884	1130.769231	-73.614967
0.000907	1102.500000	-63.576267
0.000930	1075.609756	-50.911278
0.000952	1050.000000	-36.781933
0.000975	1025.581395	-22.356112
0.000998	1002.272727	-8.641527
0.001020	980.000000	3.524335
0.001043	958.695652	13.532853
0.001066	938.297872	21.013708
0.001088	918.750000	25.849312
0.001111	900.000000	28.154722
0.001134	882.000000	28.224052
0.001156	864.705882	26.505136
0.001179	848.076923	23.518848
0.001202	832.075472	19.819950
0.001224	816.666667	15.942453
0.001247	801.818182	12.348380
0.001270	787.500000	9.392903
0.001293	773.684211	7.300238
0.001315	760.344828	6.147266
0.001338	747.457627	5.893311
0.001361	735.000000	6.364404
0.001383	722.950820	7.334407
0.001406	711.290323	8.477650
0.001429	700.000000	9.405649
0.001451	689.062500	9.789804
0.001474	678.461538	9.357459
0.001497	668.181818	7.907950
0.001519	658.208955	5.361858
0.001542	648.529412	1.745828
0.001565	639.130435	-2.790411
0.001587	630.000000	-8.012910
0.001610	621.126761	-13.574690
0.001633	612.500000	-19.086679
0.001655	604.109589	-24.118587
0.001678	595.945946	-28.258299
0.001701	588.000000	-31.116943
0.001723	580.263158	-32.386497
0.001746	572.727273	-31.845530
0.001769	565.384615	-29.395861
0.001791	558.227848	-25.052965
0.001814	551.250000	-18.975374
0.001837	544.444444	-11.401237
0.001859	537.804878	-2.681229
0.001882	531.325301	6.686050
0.001905	525.000000	16.135277
0.001927	518.823529	25.104240
0.001950	512.790698	33.024635
0.001973	506.896552	39.391556
0.001995	501.136364	43.771999
0.002018	495.505618	45.845383
0.002041	490.000000	45.416592
0.002063	484.615385	42.435036
0.002086	479.347826	37.012386
0.002109	474.193548	29.393847
0.002132	469.148936	19.962145
0.002154	464.210526	9.208815
0.002177	459.375000	-2.278380
0.002200	454.639175	-13.869445
0.002222	450.000000	-24.911463
0.002245	445.454545	-34.771713
0.002268	441.000000	-42.880066
0.002290	436.633663	-48.753086
0.002313	432.352941	-52.045578
0.002336	428.155340	-52.486607
0.002358	424.038462	-50.003738
0.002381	420.000000	-44.719116
0.002404	416.037736	-36.908955
0.002426	412.149533	-26.984425
0.002449	408.333333	-15.498355
0.002472	404.587156	-3.084702
0.002494	400.909091	9.550196
0.002517	397.297297	21.693066
0.002540	393.750000	32.649914
0.002562	390.265487	41.803631
0.002585	386.842105	48.622524
0.002608	383.478261	52.726345
0.002630	380.172414	53.894211
0.002653	376.923077	52.062683
0.002676	373.728814	47.346066
0.002698	370.588235	40.045761
0.002721	367.500000	30.596132
0.002744	364.462810	19.557110
0.002766	361.475410	7.562823
0.002789	358.536585	-4.695485
0.002812	355.645161	-16.505064
0.002834	352.800000	-27.189371
0.002857	350.000000	-36.148216
0.002880	347.244094	-42.893658
0.002902	344.531250	-47.085285
0.002925	341.860465	-48.528755
0.002948	339.230769	-47.214592
0.002971	336.641221	-43.276150
0.002993	334.090909	-37.022358
0.003016	331.578947	-28.879959
0.003039	329.104478	-19.377996
0.003061	326.666667	-9.111344
0.003084	324.264706	1.295182
0.003107	321.897810	11.237991
0.003129	319.565217	20.147104
0.003152	317.266187	27.555225
0.003175	315.000000	33.089546
0.003197	312.765957	36.519348
0.003220	310.563380	37.761703
0.003243	308.391608	36.844189
0.003265	306.250000	33.903797
0.003288	304.137931	29.223482
0.003311	302.054795	23.173714
0.003333	300.000000	16.186514
0.003356	297.972973	8.721093
0.003379	295.973154	1.254578
0.003401	294.000000	-5.772713
0.003424	292.052980	-11.977428
0.003447	290.131579	-17.051182
0.003469	288.235294	-20.773666
0.003492	286.363636	-23.036549
0.003515	284.516129	-23.818092
0.003537	282.692308	-23.202646
0.003560	280.891720	-21.346941
0.003583	279.113924	-18.482300
0.003605	277.358491	-14.876642
0.003628	275.625000	-10.827061
0.003651	273.913043	-6.628644
0.003673	272.222222	-2.557287
0.003696	270.552147	1.159544
0.003719	268.902439	4.339763
0.003741	267.272727	6.863165
0.003764	265.662651	8.652999
0.003787	264.071856	9.711927
0.003810	262.500000	10.080842
0.003832	260.946746	9.856477
0.003855	259.411765	9.160690
0.003878	257.894737	8.140359
0.003900	256.395349	6.940380
